number_red_lights,time_out,number_green_lights,end_point,exp_id,final_distance,end_pedestrian_collision,end_vehicle_collision,initial_distance,start_point,end_other_collision,final_time,weather,result,rep
1,222.9328,0,66,0,231.93745705576706,0,0,137.254028561033,19,0,222.9328,12,0,0
0,178.5718,0,14,0,142.70217531984903,0,0,148.2770446042084,79,1,178.5718,12,0,0
0,261.379,0,57,0,90.60991725175472,0,0,82.44995740175352,19,1,261.379,12,0,0
0,57.3184,0,1,0,83.94214930512567,0,0,91.35899511614316,23,0,57.3184,12,0,0
1,140.12560000000002,0,76,0,139.85518335946657,0,0,54.57222770489836,53,1,140.12560000000002,12,0,0
0,98.72200000000001,0,13,0,56.386520130151276,0,0,55.22654732886089,42,0,98.72200000000001,12,0,0
0,231.805,0,71,0,75.73408565452348,0,0,89.46937661816371,31,0,231.805,12,0,0
0,42.531400000000005,0,5,0,57.068303458306836,0,0,78.86738987016133,33,1,42.531400000000005,12,0,0
0,134.21079999999998,0,30,0,130.81122145632128,0,0,140.39951902339527,54,1,134.21079999999998,12,0,0
0,148.9978,0,61,0,94.95101335150548,0,0,87.3809326382538,10,1,148.9978,12,0,0
0,163.7848,0,3,0,107.54187475215485,0,0,120.57284625033812,66,1,163.7848,12,0,0
0,143.083,0,12,0,153.80215384223393,0,0,171.27173311587896,27,1,143.083,12,0,0
0,98.72200000000001,0,19,0,188.96164269211278,0,0,188.96175492743774,79,0,98.72200000000001,12,0,0
1,92.80720000000001,0,29,0,139.6033174741131,0,0,139.57549782236657,2,1,92.80720000000001,12,0,0
1,143.083,0,14,0,86.96246314196918,0,0,146.29400936669782,16,1,143.083,12,0,0
0,131.2534,0,57,0,152.87160149523044,0,0,159.582572624905,5,1,131.2534,12,0,0
0,199.2736,0,73,0,45.421055141328445,0,0,29.099990844726562,70,1,199.2736,12,0,0
0,184.48659999999998,1,67,0,228.921556896731,0,0,216.58716977283558,46,1,184.48659999999998,12,0,0
1,86.8924,0,50,0,92.57162563167599,0,0,185.6375465647319,57,1,86.8924,12,0,0
0,151.95520000000002,0,49,0,194.3741107203896,0,0,182.8779433458175,61,1,151.95520000000002,12,0,0
0,86.8924,0,12,0,101.2841004904462,0,0,104.84421169526482,21,1,86.8924,12,0,0
1,140.12560000000002,0,81,0,182.25369273541307,0,0,256.9135130660495,51,1,140.12560000000002,12,0,0
1,72.10539999999999,0,68,0,115.67094681114078,0,0,172.33000946044922,77,1,72.10539999999999,12,0,0
0,51.403600000000004,0,65,0,96.86585194552384,0,0,110.26999855042455,56,1,51.403600000000004,12,0,0
0,113.50899999999999,0,54,0,144.97554619698903,0,0,197.4142280923546,43,0,113.50899999999999,12,0,0
1,222.9328,0,66,0,217.25804741890366,0,0,137.254028561033,19,0,222.9328,13,0,0
1,178.5718,0,14,0,110.4270861879168,0,0,148.2770446042084,79,1,178.5718,13,0,0
1,261.379,0,57,0,196.5012881594907,0,0,82.44995740175352,19,1,261.379,13,0,0
