step,episodes_completion,intersection_offroad,collision_pedestrians,collision_vehicles,episodes_fully_completed,driven_kilometers,end_pedestrian_collision,end_vehicle_collision,end_other_collision,intersection_otherlane
2000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
4000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
6000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
8000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
10000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
12000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
14000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
16000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
18000,-0.000000,1.000000,1.000000,1.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1.000000
20000,0.035235,1.000000,1.000000,1.000000,0.000000,0.077230,0.000000,0.000000,0.040000,1.000000
